epoch,sequence_number,network_total_transactions,content_digest,computation_cost,storage_cost,storage_rebate,non_refundable_storage_fee,timestamp_ms,transactions
12,1000069,155433828,Fvrzqvn3tXBHP7U4x8SzhF2BTwenRtVmuxEEUBfrcBJN,10593372248892,22035903280800,11953842541740,120745884260,1684836663512,135
12,1000068,155433693,CvhSpQJcFy3HB7oT3L9DNF8F3qwckRbPPD57P7x7UZvf,10593238248892,22035626283600,11953692889380,120744372620,1684836661748,172
12,1000072,155434343,G3hdSXFbqj3wZZGBKttf4vyYrp1KWpzQ8JHFv76s8xLN,10593994248892,22037095705600,11954537939916,120752908484,1684836667111,150
12,1000071,155434193,5d5KoxvpZaz7htAb8N82zBus4eWrZeJJXBPQZF3JPHwS,10593845248892,22036776862800,11954356009596,120751070804,1684836665061,150
12,1000077,155435200,BMQP5Ki9zbV4SCf6rQpJexPAa71kPiy63KgUsFEAGXG2,10594846248892,22038899953200,11955522876660,120762857340,1684836671680,156
12,1000074,155434759,E7YBtRJYDRXmo5sFK3BKm23MgcUSJcAbgWiFKfiygQpp,10594408248892,22038005547200,11955051836640,120758099360,1684836668677,179
12,1000073,155434580,5p51fhvPVn3TJP8XFagwByaEb2bN2q7TAKm26ZVJFD57,10594230248892,22037641606000,11954860125120,120756162880,1684836667675,237
12,1000075,155434907,FqeirwRc8zBZ9ZHeT97W6tf4N2GgojyzPTkohTWKoupu,10594555248892,22038296019200,11955195620280,120759551720,1684836669680,148
12,1000076,155435044,8EQVvjSz6PbJXS7EXKcExMp36GmtnAf6HnReoUX4wqX3,10594691248892,22038589987200,11955365662680,120761269320,1684836670670,137
12,1000080,155435642,HGwreyaqtCB7zWHWxUeNxMGkoUo9ouZjgPgqKi8S9Rcn,10595285248892,22039808449600,11956011861420,120767796580,1684836674716,128
12,1000079,155435514,7zc5VcYhT2t9zE6UtJZ3vhuCECEKoAYqsypyFFhh6jJ2,10595158248892,22039557497600,11955887640180,120766541820,1684836673760,155
12,1000078,155435359,6aQCS9cf5Dcgn92Wsof2Bw4axhqiYrXEdm6n3M3wj5w8,10595004248892,22039240988000,11955718425420,120764832580,1684836672676,159
12,1000082,155435949,FkzCADSxqz4KxBnovDSdoKKubsC3RLr5JWWDGkAyYE82,10595590248892,22040455430000,11956373555148,120771450052,1684836676689,140
12,1000081,155435809,E2FL6n8bvuwTKJ7rXn9bSBhti37hUCLk91UnF62AF9Dr,10595451248892,22040168575600,11956219012188,120769889012,1684836675668,167
12,1000083,155436107,ADKvXu4q3dma7tnGdqZzGDu47ZJnGk2XNcj7Emqzvf8f,10595747248892,22040790088400,11956563310428,120773366772,1684836677677,158
12,1000087,155436713,4otqpr4QEtgyct69qkS5g4B1hvGSV8KtQemFK6mPPqqa,10596349248892,22042029306400,11957223390948,120780034252,1684836681695,170
12,1000084,155436252,AeKr4NfkfJ6m9QmQbMcQL7Xf54nukKQdnFvcePSmxeyQ,10595891248892,22041074632400,11956704159708,120774789492,1684836678664,145
12,1000085,155436400,Gp7T7Y6tRSSmecjphCJzvwUgj1Ee6uzoFhLer3QkfCtM,10596038248892,22041377325200,11956865549508,120776419692,1684836679670,148
